City,Bedroom,Region,Price,RateperSqft,CarpetArea,TransactionType
Mumbai,3.0,Powai Mumbai,355.0,41375.29,858.0,New Property
Mumbai,1.0,Malad East Mumbai,245.23,75922.03,323.0,New Property
Mumbai,2.0,Andheri West Mumbai,253.0,39531.25,640.0,New Property
Mumbai,2.0,Mulund West Mumbai,258.0,28603.1,902.0,New Property
Mumbai,2.0,Navghar Road Mumbai,111.0,19137.93,580.0,New Property
Mumbai,2.0,Dahisar East Mumbai,183.0,29374.0,623.0,New Property
Mumbai,2.0,Jogeshwari East Mumbai,164.0,23361.82,702.0,New Property
Mumbai,2.0,Borivali East Mumbai,202.0,28172.94,717.0,New Property
Mumbai,2.0,Mahim Mumbai,258.0,45825.93,563.0,New Property
Mumbai,2.0,Chembur East Mumbai,279.0,36856.01,757.0,New Property
Mumbai,2.0,Nalasopara West Mumbai,245.23,38316.9,640.0,New Property
Mumbai,2.0,Chunabhatti Mumbai,245.0,34217.88,716.0,New Property
Mumbai,4.0,Kanjurmarg Mumbai,449.0,28526.05,1574.0,New Property
Mumbai,2.0,Bhandup Mumbai,156.0,24920.13,626.0,New Property
Mumbai,3.0,Ghatkopar East Mumbai,348.0,33951.22,1025.0,New Property
Mumbai,2.0,Mulund West Mumbai,199.0,25480.15,781.0,New Property
Mumbai,2.0,Borivali East Mumbai,290.0,32186.46,901.0,New Property
Mumbai,4.0,Juhu Mumbai,1236.0,66955.58,1846.0,New Property
Mumbai,4.0,Powai Mumbai,862.0,37973.57,2270.0,New Property
Mumbai,4.0,Powai Mumbai,759.0,37950.0,2000.0,New Property
Mumbai,4.0,Worli Mumbai,1410.0,66951.57,2106.0,New Property
Mumbai,2.0,Goregaon West Mumbai,267.0,30831.41,866.0,New Property
Mumbai,8.0,Juhu Mumbai,7500.0,83333.33,9000.0,New Property
Mumbai,3.0,Mulund West Mumbai,288.0,26592.8,1083.0,New Property
Mumbai,3.0,Vile Parle West Mumbai,683.0,56916.67,1200.0,New Property
Mumbai,3.0,Mahalakshmi Mumbai,682.0,47229.92,1444.0,New Property
Mumbai,3.0,Bandra East Mumbai,358.0,38744.59,924.0,New Property
Mumbai,2.0,Santacruz West Mumbai,412.0,47906.98,860.0,New Property
Mumbai,3.0,Borivali West Mumbai,308.0,33011.79,933.0,New Property
Mumbai,2.0,Borivali East Mumbai,238.0,23919.6,995.0,New Property
Mumbai,2.0,Mira Road East Mumbai,102.0,17586.21,580.0,New Property
Mumbai,4.0,Borivali West Mumbai,478.0,29875.0,1600.0,New Property
Mumbai,3.0,Worli Mumbai,913.0,62965.52,1450.0,New Property
Mumbai,3.0,Bandra East Mumbai,396.0,42038.22,942.0,New Property
